title,category,publish_date,title_en,title_en_stopwords_removed,sentiment
Melihat Peluang Rebound Saham BNI,detikFinance,2020-04-09 17:14:00,Seeing Opportunities for BNI Shares Rebound,Seeing Opportunities BNI Shares Rebound,POSITIVE
"BNI Cetak Laba Rp 2,5 T Per Akhir Februari 2020",detikFinance,2020-04-07 15:48:00,BNI Posts Rp 2.5 T Profit as of End of February 2020,BNI Posts Rp 2.5 Profit End February 2020,POSITIVE
"BUMN Buyback Saham Rp 8 T, Pasar Modal Bisa Bergairah?",detikFinance,2020-03-11 05:34:00,"BUMN Buyback Shares of IDR 8 T, Can the Capital Market Be Exciting?","BUMN Buyback Shares IDR 8 , Capital Market Exciting ?",NEGATIVE
Mampukah Buyback 12 BUMN Rp 8 T Selamatkan Pasar Modal RI?,detikFinance,2020-03-10 15:05:00,Can the Rp 8 T Buyback of 12 BUMNs Save the Indonesian Capital Market?,Rp 8 Buyback 12 BUMNs Save Indonesian Capital Market ?,POSITIVE
Alasan 12 BUMN Buyback Saham Rp 8 T,detikFinance,2020-03-10 11:18:00,Reasons for 12 BUMN Buyback of Rp 8 T in Shares,Reasons 12 BUMN Buyback Rp 8 Shares,NEGATIVE
12 BUMN Siap Buyback Saham Rp 8 T,detikFinance,2020-03-10 10:45:00,12 BUMN Ready to Buyback Rp 8 T in Shares,12 BUMN Ready Buyback Rp 8 Shares,POSITIVE
IHSG Diperkirakan Melemah Jelang Akhir Pekan,detikFinance,2020-02-21 08:52:00,IHSG Expected to Weaken Ahead of Weekend,IHSG Expected Weaken Ahead Weekend,NEGATIVE
Rencana BNI 2020: Caplok Bank Sampai Global Bond,detikFinance,2020-01-22 22:00:00,BNI's 2020 Plan: From Bank Acquisition to Global Bonds,BNI 's 2020 Plan : Bank Acquisition Global Bonds,POSITIVE
"Transaksi Tembus Rp 14 T, IHSG Ditutup Stagnan",detikFinance,2019-06-28 12:10:00,"Transactions Reach IDR 14 T, IHSG Closes Stagnant","Transactions Reach IDR 14 , IHSG Closes Stagnant",NEGATIVE
"Profit Taking Jelang Libur Panjang, IHSG Ditutup Anjlok ke 6.033",detikFinance,2019-05-28 16:58:00,"Profit Taking Ahead of Long Holiday, IHSG Closes Down to 6,033","Profit Taking Ahead Long Holiday , IHSG Closes 6,033",POSITIVE
"204 Saham Loyo, IHSG Parkir Negatif di 6.077",detikFinance,2019-05-28 12:34:00,"204 Weak Stocks, IHSG Parked Negatively at 6,077","204 Weak Stocks , IHSG Parked Negatively 6,077",NEGATIVE
Siasat Berburu Cuan di Pasar Modal saat Ramadhan,detikFinance,2019-05-13 15:35:00,Strategy for Hunting Profits in the Capital Market During Ramadan,Strategy Hunting Profits Capital Market Ramadan,POSITIVE
"Ada RUPS, Direksi-Komisaris Bank BUMN Dirombak Pekan Ini",detikFinance,2019-05-13 09:47:00,"There is a GMS, the Board of Directors and Commissioners of State-Owned Banks will be Reshuffled This Week","GMS , Board Directors Commissioners State-Owned Banks Reshuffled Week",NEGATIVE
OSO Securities: IHSG Berpeluang Menguat,detikFinance,2019-05-07 08:45:00,OSO Securities: IHSG Has Opportunity to Strengthen,OSO Securities : IHSG Opportunity Strengthen,POSITIVE
"Puasa Hari Pertama, IHSG Ditutup Loyo ke 6.256",detikFinance,2019-05-06 16:51:00,"First Day of Fasting, IHSG Closes Weak at 6,256","First Day Fasting , IHSG Closes Weak 6,256",NEGATIVE
"Jeda Siang Perdana Puasa, IHSG Masih Loyo",detikFinance,2019-05-06 12:38:00,"First Afternoon Break of Fasting, IHSG Still Weak","First Afternoon Break Fasting , IHSG Still Weak",NEGATIVE
"BNI Cetak Laba Rp 4 Triliun, Tumbuh 11%",detikFinance,2019-04-24 15:42:00,"BNI Posts Rp 4 Trillion Profit, Grows 11%","BNI Posts Rp 4 Trillion Profit , Grows 11 %",POSITIVE
"Jokowi Unggul Quick Count Sementara, IHSG Melejit ke 6.584",detikFinance,2019-04-18 09:19:00,"Jokowi Leads Quick Count, IHSG Soars to 6,584","Jokowi Leads Quick Count , IHSG Soars 6,584",POSITIVE
IHSG Diprediksi Terkoreksi,detikFinance,2019-03-19 08:47:00,IHSG Predicted to be Corrected,IHSG Predicted Corrected,POSITIVE
IHSG Menanti Data Neraca Perdagangan,detikFinance,2019-03-15 08:50:00,IHSG Awaits Trade Balance Data,IHSG Awaits Trade Balance Data,POSITIVE
OSO: IHSG Diprediksi Lanjutkan Penguatan di 6.466-6.539,detikFinance,2019-03-04 08:51:00,"OSO: IHSG Predicted to Continue Strengthening at 6,466-6,539","OSO : IHSG Predicted Continue Strengthening 6,466-6,539",POSITIVE
"Putar Balik, IHSG Ditutup Negatif ke 6.419",detikFinance,2019-02-13 16:43:00,"U-Turn, IHSG Closes Negative at 6,419","U-Turn , IHSG Closes Negative 6,419",NEGATIVE
"Perdagangan Sepi, IHSG Naik Tipis ke 6.438",detikFinance,2019-02-13 12:31:00,"Quiet Trading, IHSG Increases Slightly to 6,438","Quiet Trading , IHSG Increases Slightly 6,438",POSITIVE
"Seragam dengan Bursa Asia, IHSG Bertahan di Zona Hijau",detikFinance,2019-01-21 12:37:00,"In line with Asian Stock Exchanges, IHSG Remains in the Green Zone","line Asian Stock Exchanges , IHSG Remains Green Zone",POSITIVE
"Asing Beli Bersih Rp 2 T, IHSG Bertahan di 6.425",detikFinance,2019-01-16 16:55:00,"Foreign Net Buy of Rp 2 T, IHSG Holds at 6,425","Foreign Net Buy Rp 2 , IHSG Holds 6,425",POSITIVE
OSO Securities: IHSG Berpeluang Menguat di Kisaran 6.317,detikFinance,2019-01-08 08:50:00,"OSO Securities: IHSG Has Opportunity to Strengthen in the Range of 6,317","OSO Securities : IHSG Opportunity Strengthen Range 6,317",POSITIVE
